State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2214,Milperra,2016-17,1 year,95.0-100.0,#
NSW,2216,"Rockdale, Brighton-Le-Sands, Banksia, Kyeemagh",2016-17,1 year,85.0-89.9, 
NSW,2217,"Kogarah, Monterey, Beverley Park, Kogarah Bay, Ramsgate Beach and 1 other",2016-17,1 year,90.0-92.4, 
NSW,2218,"Carlton, Allawah",2016-17,1 year,92.5-94.9, 
NSW,2219,"Sans Souci, Dolls Point, Sandringham",2016-17,1 year,95.0-100.0, 
NSW,2220,"Hurstville, Hurstville Grove",2016-17,1 year,85.0-89.9, 
NSW,2221,"Blakehurst, South Hurstville, Connells Point, Carss Park, Kyle Bay",2016-17,1 year,92.5-94.9, 
NSW,2222,Penshurst,2016-17,1 year,92.5-94.9, 
NSW,2223,"Oatley, Mortdale",2016-17,1 year,95.0-100.0, 
NSW,2224,"Sylvania, Sylvania Waters, Kangaroo Point",2016-17,1 year,95.0-100.0, 
NSW,2225,Oyster Bay,2016-17,1 year,95.0-100.0,#
NSW,2226,"Jannali, Como, Bonnet Bay",2016-17,1 year,95.0-100.0, 
NSW,2227,"Gymea, Gymea Bay",2016-17,1 year,95.0-100.0, 
NSW,2228,"Miranda, Yowie Bay",2016-17,1 year,92.5-94.9, 
NSW,2229,"Caringbah South, Caringbah, Taren Point, Lilli Pilli, Port Hacking and 1 other",2016-17,1 year,95.0-100.0, 
NSW,2230,"Cronulla, Woolooware, Burraneer, Bundeena, Maianbar and 1 other",2016-17,1 year,92.5-94.9, 
NSW,2231,Kurnell,2016-17,1 year,95.0-100.0,#
NSW,2232,"Sutherland, Kirrawee, Loftus, Kareela, Grays Point and 1 other",2016-17,1 year,95.0-100.0, 
NSW,2233,"Engadine, Heathcote, Woronora Heights, Yarrawarrah, Waterfall",2016-17,1 year,95.0-100.0, 
NSW,2234,"Menai, Illawong, Bangor, Barden Ridge, Alfords Point and 1 other",2016-17,1 year,95.0-100.0, 
NSW,2250,"Gosford, Wyoming, Narara, Kariong, Lisarow and 28 others",2016-17,1 year,92.5-94.9, 
NSW,2251,"Kincumber, Green Point, Avoca Beach, Saratoga, Copacabana and 7 others",2016-17,1 year,95.0-100.0, 
NSW,2256,"Woy Woy, Blackwall, Koolewong, Horsfield Bay, Pearl Beach and 5 others",2016-17,1 year,95.0-100.0, 
NSW,2257,"Umina Beach, Ettalong Beach, Empire Bay, Booker Bay, St Huberts Island and 7 others",2016-17,1 year,95.0-100.0, 
NSW,2258,"Ourimbah, Fountaindale, Kangy Angy, Palm Grove, Palmdale",2016-17,1 year,90.0-92.4,#
NSW,2259,"Hamlyn Terrace, Lake Munmorah, Woongarrah, Kanwal, Watanobbi and 37 others",2016-17,1 year,95.0-100.0, 
NSW,2260,"Terrigal, Wamberal, Forresters Beach, North Avoca, Erina Heights",2016-17,1 year,92.5-94.9, 
NSW,2261,"Bateau Bay, Berkeley Vale, Killarney Vale, Long Jetty, Tumbi Umbi and 10 others",2016-17,1 year,95.0-100.0, 
NSW,2262,"Blue Haven, San Remo, Buff Point, Budgewoi, Halekulani and 4 others",2016-17,1 year,95.0-100.0, 
