rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
0.2,"20402",0.3,10.3,58.0,3.8,0.6,0.3,2016,"Wangaratta  Benalla",null,30.3
0.2,"20403",0.5,10.0,55.0,5.4,0.7,0.6,2016,"Wodonga  Alpine",null,32.9
0.2,"20501",0.4,9.8,53.3,4.0,0.6,0.2,2016,"Baw Baw",null,35.4
0.1,"20502",0.4,11.7,50.0,3.5,0.6,0.2,2016,"Gippsland  East",null,37.0
0.1,"20503",0.4,10.5,48.7,4.2,0.8,0.2,2016,"Gippsland  South West",0.1,39.1
0.4,"20504",0.4,10.6,51.6,6.6,0.8,0.4,2016,"Latrobe Valley",null,35.8
0.2,"20505",0.4,12.1,52.9,3.8,0.7,0.3,2016,"Wellington",null,33.3
4.4,"20601",0.6,9.3,38.6,31.6,1.9,2.1,2016,"Brunswick  Coburg",0.2,43.0
1.4,"20602",0.6,9.7,37.1,24.9,1.9,1.4,2016,"Darebin  South",0.3,47.7
3.8,"20603",0.6,9.8,50.0,27.5,2.5,2.7,2016,"Essendon",0.1,30.6
3.9,"20604",0.5,14.8,24.5,48.1,6.9,4.0,2016,"Melbourne City",0.3,45.0
1.1,"20605",0.5,13.9,34.2,20.6,1.8,2.0,2016,"Port Phillip",3.5,43.1
1.2,"20606",0.4,12.7,37.2,22.9,2.5,2.0,2016,"Stonnington  West",4.3,39.8
1.1,"20701",0.5,8.7,45.9,27.3,3.2,2.4,2016,"Boroondara",0.9,37.2
2.6,"20702",1.2,7.6,51.7,49.1,4.6,1.7,2016,"Manningham  West",0.4,30.3
2.3,"20607",0.4,12.5,30.0,22.3,3.9,0.7,2016,"Yarra",0.6,49.6
1.2,"20703",0.9,7.9,43.6,38.3,5.1,2.6,2016,"Whitehorse  West",0.2,38.5
0.5,"20801",0.3,9.0,49.5,14.7,1.2,0.6,2016,"Bayside",2.7,36.2
6.2,"20902",1.5,10.1,46.0,43.7,3.5,3.5,2016,"Darebin  North",0.1,29.1
0.4,"20903",0.4,8.2,48.1,8.9,0.9,0.3,2016,"Nillumbik  Kinglake",0.1,41.6
6.9,"20904",3.1,7.9,53.8,41.5,3.1,3.9,2016,"Whittlesea  Wallan",null,21.2
1.8,"21001",0.6,7.5,66.3,31.9,2.3,1.2,2016,"Keilor",null,20.3
0.2,"21002",0.2,9.0,53.7,4.4,0.6,0.1,2016,"Macedon Ranges",0.1,36.1
0.9,"20803",0.6,8.8,50.6,19.2,1.9,1.4,2016,"Kingston",0.9,34.9
0.8,"20804",0.5,8.8,47.5,23.6,2.3,2.9,2016,"Stonnington  East",3.4,33.9
2.2,"20901",0.6,8.2,50.6,21.7,1.7,1.4,2016,"Banyule",0.1,35.2
0.7,"20802",0.6,8.9,35.8,32.1,2.1,4.2,2016,"Glen Eira",16.0,31.7
15.9,"21003",1.1,9.1,47.2,45.8,2.3,4.0,2016,"Moreland  North",null,20.4
0.7,"21004",0.6,8.3,56.5,8.6,0.9,0.5,2016,"Sunbury",null,32.5
20.1,"21005",3.2,8.6,48.2,53.3,2.8,3.4,2016,"Tullamarine  Broadmeadows",null,13.7
