"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",10.1,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",55.7,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",60.8,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",5.1,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",7.3,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",1,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",1.3,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",14,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",18.4,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",8.4,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",9.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",14.6,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",14.3,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2011","2011",12.6,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11701","Botany","A","Annual","2016","2016",10.4,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",64,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2016","2016",68.6,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11702","Marrickville - Sydenham - Petersham","A","Annual","2011","2011",7.9,,
